OG,Branch,K,Relaxation Parameter (K),p-value
OG0003370.json,Ast_eri,1.291555944226384,1.183477558890639,0.3284070469166227
OG0003370.json,Coc_sub,9.708286449507094,1.183477558890639,0.3284070469166227
OG0003370.json,Coc_vir,2.392251647591894,1.183477558890639,0.3284070469166227
OG0003370.json,Myr_bis,1.359794390951054,1.183477558890639,0.3284070469166227
OG0003370.json,Node2,1.896781612664535,1.183477558890639,0.3284070469166227
OG0003370.json,Node3,2.887318014636474,1.183477558890639,0.3284070469166227
OG0003370.json,Node4,2.25753573778198,1.183477558890639,0.3284070469166227
OG0003370.json,Node7,1.102503969547527,1.183477558890639,0.3284070469166227
OG0003370.json,Sym_irr,5.22408888051135,1.183477558890639,0.3284070469166227
OG0003370.json,Sym_ret,5.846581823370717,1.183477558890639,0.3284070469166227
OG0003370.json,Tre_spC0010,3.802936315613435,1.183477558890639,0.3284070469166227
OG0003372.json,Ast_eri,0.2221841562208946,1.024216856141468,1
OG0003372.json,Coc_sub,1.851691149246914,1.024216856141468,1
OG0003372.json,Coc_vir,0.3341439471579064,1.024216856141468,1
OG0003372.json,Myr_bis,0.2846020705760223,1.024216856141468,1
OG0003372.json,Node2,1.370908311817573,1.024216856141468,1
OG0003372.json,Node3,1.092520134066344,1.024216856141468,1
OG0003372.json,Node4,2.370956299446421,1.024216856141468,1
OG0003372.json,Node7,0.2301530471727359,1.024216856141468,1
OG0003372.json,Sym_irr,0.3022607525584679,1.024216856141468,1
OG0003372.json,Sym_ret,0.304389672826042,1.024216856141468,1
OG0003372.json,Tre_spC0010,0.4294006805948479,1.024216856141468,1
OG0003374.json,Ast_eri,0.2485758370536415,1.392126313818397,0.001290464763746502
OG0003374.json,Coc_sub,0.3047719615889509,1.392126313818397,0.001290464763746502
OG0003374.json,Coc_vir,0.2283896569825049,1.392126313818397,0.001290464763746502
OG0003374.json,Myr_bis,0.2369552892968733,1.392126313818397,0.001290464763746502
OG0003374.json,Node2,0.8671405380131427,1.392126313818397,0.001290464763746502
OG0003374.json,Node3,1.866054996229547,1.392126313818397,0.001290464763746502
